Name,Supplier,PartNumber,Price,DocURL,Skip,MirroredConnector,Backwards,Connectors,CopyComponents,PinMap,DownloadType,DownloadURL,Filename
DS1307 Real Time Clock breakout board kit,Adafruit,264,$9.00 ,http://adafru.it/264,,FALSE,FALSE,JP2,,,svn,https://github.com/adafruit/DS1307-breakout-board,DS1307-breakout-board/trunk/ds1307.brd
Adafruit Ultimate GPS Breakout - 66 channel w/10 Hz updates,Adafruit,746,$39.95 ,http://adafru.it/746,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/Adafruit-Ultimate-GPS,Adafruit-Ultimate-GPS/trunk/Adafruit Ultimate GPS.brd
Adafruit TSL2561 Digital Luminosity/Lux/Light Sensor Breakout,Adafruit,439,$5.95 ,http://adafru.it/439,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/TSL2561-breakout-board-PCB,TSL2561-breakout-board-PCB/trunk/TSL2561_5V_REV-A.brd
RA8875 Driver Board for 40-pin TFT Touch Displays - 800x480 Max,Adafruit,1590,$34.95 ,http://adafru.it/1590,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/Adafruit-RA8875-Breakout-Board-PCB,Adafruit-RA8875-Breakout-Board-PCB/trunk/Adafruit RA8875 TFT Breakout.brd
Breadboard-friendly RGB Smart NeoPixel - Pack of 4,Adafruit,1312,$7.95 ,http://adafru.it/1312,,FALSE,FALSE,JP1 JP2,,,svn,https://github.com/adafruit/Adafruit_Breadboard_NeoPixel_PCB,Adafruit_Breadboard_NeoPixel_PCB/trunk/Adafruit_Breadboard_NeoPixel.brd
Analog 2-axis Thumb Joystick with Select Button + Breakout Board,Adafruit,512,$5.95 ,http://adafru.it/512,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/2-axis-joystick-breakout-board-with-mounting-holes,2-axis-joystick-breakout-board-with-mounting-holes/trunk/joystick.brd
Thermocouple Amplifier MAX31855 breakout board (MAX6675 upgrade),Adafruit,269,$14.95 ,http://adafru.it/269,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/Adafruit-MAX31855-breakout-board,Adafruit-MAX31855-breakout-board/trunk/Adafruit_MAX31855 v2.brd
ADS1015 12-Bit ADC - 4 Channel with Programmable Gain Amplifier,Adafruit,1083,$9.95 ,http://adafru.it/1083,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/ADS1X15-Breakout-Board-PCBs,ADS1X15-Breakout-Board-PCBs/trunk/Adafruit_ADS1015_12Bit_I2C_ADC.brd
ADS1115 16-Bit ADC - 4 Channel with Programmable Gain Amplifier,Adafruit,1085,$14.95 ,http://adafru.it/1085,,FALSE,FALSE,JP1,,,svn,https://github.com/adafruit/ADS1X15-Breakout-Board-PCBs,ADS1X15-Breakout-Board-PCBs/trunk/Adafruit_ADS1115_16Bit_I2C_ADC.brd
"Small 1.2"" 8x8 Ultra Bright Square Blue LED Matrix + Backpack",Adafruit,1853,$11.95 ,http://adafru.it/1853,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Small 1.2"" 8x8 Ultra Bright Square Amber LED Matrix + Backpack",Adafruit,1854,$10.50 ,http://adafru.it/1854,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Small 1.2"" 8x8 Ultra Bright Square Yellow LED Matrix + Backpack",Adafruit,1855,$10.50 ,http://adafru.it/1855,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Small 1.2"" 8x8 Ultra Bright Square Yellow LED Matrix + Backpack",Adafruit,1855,$10.50 ,http://adafru.it/1855,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Small 1.2"" 8x8 Bright Square Pure Green LED Matrix + Backpack",Adafruit,1856,$10.95 ,http://adafru.it/1856,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Small 1.2"" 8x8 Ultra Bright Square White LED Matrix + Backpack",Adafruit,1857,$13.50 ,http://adafru.it/1857,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Adafruit Small 1.2"" 8x8 LED Matrix w/I2C Backpack - Red",Adafruit,1049,$9.95 ,http://adafru.it/1049,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Adafruit Small 1.2"" 8x8 LED Matrix w/I2C Backpack - Yellow",Adafruit,1050,$10.50 ,http://adafru.it/1050,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Adafruit Small 1.2"" 8x8 LED Matrix w/I2C Backpack - Yellow-Green",Adafruit,1051,$10.95 ,http://adafru.it/1051,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Adafruit Small 1.2"" 8x8 LED Matrix w/I2C Backpack - Blue",Adafruit,1052,$11.95 ,http://adafru.it/1052,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Small 1.2"" 8x8 Ultra Bright White LED Matrix + Backpack",Adafruit,1614,$13.50 ,http://adafru.it/1614,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
