Name,Supplier,PartNumber,Price,DocURL,Skip,MirroredConnector,Backwards,Connectors,CopyComponents,PinMap,DownloadType,DownloadURL,Filename
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/32U4_Breakout_Board,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/9DOF_Razor_IMU,
Breakout Board for AD5330 Parallel 8-Bit DAC,Sparkfun,12082,$9.95 ,https://www.sparkfun.com/products/12082,TRUE,,,,,,svn,https://github.com/sparkfun/AD5330_Breakout,
AD8232 Single Lead Heart Rate Monitor,Sparkfun,12650,$19.95 ,https://www.sparkfun.com/products/12650,TRUE,,,,,,svn,https://github.com/sparkfun/AD8232_Heart_Rate_Monitor,
Triple Axis Accelerometer Breakout - ADXL335,Sparkfun,9269,$14.95 ,https://www.sparkfun.com/products/9269,TRUE,,,,,,svn,https://github.com/sparkfun/ADXL335_Breakout,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/ADXL337_Breakout,
Triple Axis Accelerometer Breakout - ADXL345,Sparkfun,9836,$17.95 ,https://www.sparkfun.com/products/9836,TRUE,,,,,,svn,https://github.com/sparkfun/ADXL345_Breakout,
Triple Axis Accelerometer Breakout - ADXL362,Sparkfun,11446,$14.95 ,https://www.sparkfun.com/products/11446,TRUE,,,,,,svn,https://github.com/sparkfun/ADXL362_Breakout,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/ADXL377_Breakout,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/AT42QT1010_Capacitive_Touch_Breakout,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/ATmega128RFA1_Dev,
Analog/Digital MUX Breakout,Sparkfun,9056,$4.95 ,https://www.sparkfun.com/products/9056,TRUE,,,,,,svn,https://github.com/sparkfun/Analog_Digital_MUX_Breakout,
Arduino Pro Mini 328 - 5V/16MHz,Sparkfun,11113,$9.95 ,https://www.sparkfun.com/products/11113,TRUE,,,,,,svn,https://github.com/sparkfun/Arduino_Pro_Mini_328,
Arduino Pro Mini 328 - 3.3V/8MHz,Sparkfun,11114,$9.95 ,https://www.sparkfun.com/products/11114,TRUE,,,,,,svn,https://github.com/sparkfun/Arduino_Pro_Mini_328,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/BC127_Breakout_Board,
Barometric Pressure Sensor Breakout - BMP180,Sparkfun,11824,$9.95 ,https://www.sparkfun.com/products/11824,TRUE,,,,,,svn,https://github.com/sparkfun/BMP180_Breakout,
,Sparkfun,,,,TRUE,,,,,,svn,https://github.com/sparkfun/Bargraph_Breakout_Kit,
